physician_id,quarter,region,specialty,panel_size,years_experience,digital_engagement_score,rep_visits_per_quarter,formulary_access_pct,peer_influence_score,expected_scripts,actual_scripts,under_prescriber
5,2025-Q3,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,59.0,0
5,2025-Q4,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,45.3,0
6,2023-Q1,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,34.2,0
6,2023-Q2,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,31.0,0
6,2023-Q3,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,35.0,0
6,2023-Q4,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,33.9,0
6,2024-Q1,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,42.1,0
6,2024-Q2,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,32.6,0
6,2024-Q3,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,28.5,0
6,2024-Q4,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,34.7,0
6,2025-Q1,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,34.9,0
6,2025-Q2,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,40.9,0
6,2025-Q3,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,38.1,0
6,2025-Q4,Southwest,Endocrinology,867,31,0.456,2,0.506,0.857,34.7,35.7,0
7,2023-Q1,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,40.3,0
7,2023-Q2,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,42.8,0
7,2023-Q3,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,48.2,0
7,2023-Q4,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,52.5,0
7,2024-Q1,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,40.8,0
7,2024-Q2,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,34.2,0
7,2024-Q3,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,28.8,0
7,2024-Q4,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,40.1,0
7,2025-Q1,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,35.0,0
7,2025-Q2,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,36.9,0
7,2025-Q3,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,35.9,0
7,2025-Q4,Southwest,Cardiology,783,6,0.925,3,0.975,0.482,31.3,38.2,0
8,2023-Q1,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,54.1,0
8,2023-Q2,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,60.5,0
8,2023-Q3,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,49.4,0
8,2023-Q4,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,44.2,0
8,2024-Q1,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,45.9,0
8,2024-Q2,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,47.7,0
8,2024-Q3,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,69.1,0
8,2024-Q4,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,46.9,0
8,2025-Q1,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,59.4,0
8,2025-Q2,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,46.3,0
8,2025-Q3,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,60.1,0
8,2025-Q4,Southeast,Pulmonology,1254,5,0.554,2,0.796,0.727,50.2,56.0,0
9,2023-Q1,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,41.0,0
9,2023-Q2,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,51.0,0
9,2023-Q3,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,40.9,0
9,2023-Q4,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,39.0,0
9,2024-Q1,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,41.8,0
9,2024-Q2,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,49.1,0
9,2024-Q3,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,41.4,0
9,2024-Q4,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,36.9,0
9,2025-Q1,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,47.7,0
9,2025-Q2,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,42.9,0
9,2025-Q3,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,50.7,0
9,2025-Q4,Southwest,Primary Care,1185,32,0.165,0,0.661,0.992,47.4,41.1,0
10,2023-Q1,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,38.0,0
10,2023-Q2,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,28.0,0
10,2023-Q3,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,34.7,0
10,2023-Q4,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,30.2,0
10,2024-Q1,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,31.9,0
10,2024-Q2,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,31.2,0
10,2024-Q3,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,33.4,0
10,2024-Q4,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,38.0,0
10,2025-Q1,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,32.3,0
10,2025-Q2,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,34.7,0
10,2025-Q3,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,23.0,0
10,2025-Q4,Northeast,Pulmonology,721,5,0.831,1,0.76,0.875,28.8,31.7,0
11,2023-Q1,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,35.3,0
11,2023-Q2,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,41.4,0
11,2023-Q3,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,39.3,0
11,2023-Q4,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,43.0,0
11,2024-Q1,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,36.1,0
11,2024-Q2,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,33.5,0
11,2024-Q3,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,35.7,0
11,2024-Q4,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,37.9,0
11,2025-Q1,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,37.6,0
11,2025-Q2,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,31.7,0
11,2025-Q3,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,37.2,0
11,2025-Q4,West,Neurology,773,7,0.804,3,0.957,0.398,30.9,37.8,0
12,2023-Q1,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,72.4,0
12,2023-Q2,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,55.7,0
12,2023-Q3,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,77.8,0
12,2023-Q4,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,67.8,0
12,2024-Q1,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,73.7,0
12,2024-Q2,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,69.9,0
12,2024-Q3,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,78.6,0
12,2024-Q4,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,60.1,0
12,2025-Q1,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,63.3,0
12,2025-Q2,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,103.4,0
12,2025-Q3,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,65.3,0
12,2025-Q4,Northeast,Pulmonology,1856,32,0.804,2,0.465,0.829,74.2,67.4,0
13,2023-Q1,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,96.2,0
13,2023-Q2,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,85.4,0
13,2023-Q3,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,88.6,0
13,2023-Q4,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,72.1,0
13,2024-Q1,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,87.2,0
13,2024-Q2,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,86.8,0
13,2024-Q3,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,93.5,0
13,2024-Q4,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,83.0,0
13,2025-Q1,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,96.6,0
13,2025-Q2,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,103.8,0
13,2025-Q3,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,92.4,0
13,2025-Q4,West,Pulmonology,2216,3,0.594,2,0.486,0.921,88.6,95.1,0
14,2023-Q1,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,40.4,0
14,2023-Q2,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,32.1,1
14,2023-Q3,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,29.6,1
14,2023-Q4,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,46.2,0
14,2024-Q1,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,39.5,0
14,2024-Q2,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,41.1,0
14,2024-Q3,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,25.1,1
14,2024-Q4,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,44.3,0
14,2025-Q1,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,40.9,0
14,2025-Q2,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,29.6,1
14,2025-Q3,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,34.2,1
14,2025-Q4,West,Primary Care,1200,29,0.043,1,0.55,0.571,48.0,39.5,0
15,2023-Q1,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,50.2,0
15,2023-Q2,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,59.5,0
15,2023-Q3,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,38.0,0
15,2023-Q4,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,53.8,0
15,2024-Q1,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,45.9,0
15,2024-Q2,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,47.7,0
15,2024-Q3,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,41.2,0
15,2024-Q4,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,45.9,0
15,2025-Q1,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,56.6,0
15,2025-Q2,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,51.9,0
15,2025-Q3,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,59.5,0
15,2025-Q4,Southwest,Neurology,1097,5,0.536,5,0.484,0.478,43.9,55.8,0
16,2023-Q1,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,90.9,0
16,2023-Q2,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,102.8,0
16,2023-Q3,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,98.3,0
16,2023-Q4,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,109.9,0
16,2024-Q1,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,98.0,0
16,2024-Q2,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,73.0,0
16,2024-Q3,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,89.4,0
16,2024-Q4,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,77.4,0
16,2025-Q1,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,84.5,0
16,2025-Q2,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,106.5,0
16,2025-Q3,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,97.0,0
16,2025-Q4,Midwest,Primary Care,1810,23,0.804,4,0.817,0.861,72.4,82.5,0
17,2023-Q1,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,44.8,0
17,2023-Q2,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,47.3,0
17,2023-Q3,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,56.1,0
17,2023-Q4,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,29.3,1
17,2024-Q1,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,40.0,0
17,2024-Q2,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,48.6,0
17,2024-Q3,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,32.8,1
17,2024-Q4,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,55.0,0
17,2025-Q1,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,47.0,0
17,2025-Q2,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,50.5,0
17,2025-Q3,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,40.2,0
17,2025-Q4,West,Pulmonology,1211,21,0.095,3,0.68,0.523,48.4,50.2,0
18,2023-Q1,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,39.0,0
18,2023-Q2,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,46.2,0
18,2023-Q3,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,58.5,0
18,2023-Q4,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,41.4,0
18,2024-Q1,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,40.8,0
18,2024-Q2,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,48.7,0
18,2024-Q3,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,53.6,0
18,2024-Q4,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,47.2,0
18,2025-Q1,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,57.3,0
18,2025-Q2,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,53.7,0
18,2025-Q3,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,53.6,0
18,2025-Q4,Southwest,Endocrinology,1281,26,0.271,2,0.489,0.936,51.2,51.4,0
19,2023-Q1,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,36.9,0
19,2023-Q2,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,34.5,0
19,2023-Q3,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,40.0,0
19,2023-Q4,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,48.4,0
19,2024-Q1,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,48.9,0
19,2024-Q2,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,47.3,0
19,2024-Q3,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,35.8,0
19,2024-Q4,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,29.8,1
19,2025-Q1,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,45.8,0
19,2025-Q2,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,42.2,0
19,2025-Q3,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,48.5,0
19,2025-Q4,Southeast,Pulmonology,1128,5,0.588,1,0.673,0.825,45.1,50.1,0
20,2023-Q1,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,30.5,0
20,2023-Q2,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,34.1,0
20,2023-Q3,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,27.1,1
20,2023-Q4,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,32.4,0
20,2024-Q1,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,27.8,1
20,2024-Q2,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,28.7,1
20,2024-Q3,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,34.2,0
20,2024-Q4,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,17.8,1
20,2025-Q1,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,21.9,1
20,2025-Q2,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,20.8,1
20,2025-Q3,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,15.8,1
20,2025-Q4,Southwest,Pulmonology,968,23,0.09,1,0.544,0.143,38.7,25.4,1
21,2023-Q1,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,40.9,0
21,2023-Q2,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,50.4,0
21,2023-Q3,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,42.1,0
21,2023-Q4,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,36.0,0
21,2024-Q1,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,37.6,0
21,2024-Q2,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,31.7,1
21,2024-Q3,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,35.6,0
21,2024-Q4,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,39.1,0
21,2025-Q1,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,46.8,0
21,2025-Q2,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,52.9,0
21,2025-Q3,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,32.4,1
21,2025-Q4,Southwest,Pulmonology,1100,27,0.698,1,0.521,0.125,44.0,44.1,0
22,2023-Q1,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,50.5,0
22,2023-Q2,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,59.3,0
22,2023-Q3,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,54.3,0
22,2023-Q4,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,58.5,0
22,2024-Q1,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,58.8,0
22,2024-Q2,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,66.6,0
22,2024-Q3,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,53.0,0
22,2024-Q4,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,43.7,0
22,2025-Q1,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,64.6,0
22,2025-Q2,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,53.1,0
22,2025-Q3,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,64.9,0
22,2025-Q4,Northeast,Neurology,1366,31,0.71,1,0.51,0.98,54.6,59.0,0
23,2023-Q1,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,45.1,0
23,2023-Q2,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,42.2,0
23,2023-Q3,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,44.9,0
23,2023-Q4,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,35.8,1
23,2024-Q1,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,29.8,1
23,2024-Q2,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,26.0,1
23,2024-Q3,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,33.6,1
23,2024-Q4,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,38.8,1
23,2025-Q1,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,40.1,0
23,2025-Q2,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,57.8,0
23,2025-Q3,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,51.2,0
23,2025-Q4,Midwest,Primary Care,1322,17,0.119,1,0.583,0.428,52.9,34.8,1
24,2023-Q1,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,56.5,0
24,2023-Q2,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,47.9,0
24,2023-Q3,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,51.1,0
24,2023-Q4,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,47.0,0
24,2024-Q1,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,46.3,0
24,2024-Q2,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,42.4,0
24,2024-Q3,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,50.1,0
24,2024-Q4,Southeast,Primary Care,1057,23,0.652,4,0.616,0.513,42.3,42.0,0
